Lance_000;0,18;73,86;109,18
Lance_001;73,18;70,86;112,18
Lance_002;143,19;70,85;112,19
Lance_003;213,30;80,74;117,30
Lance_004;293,12;69,92;127,12
Lance_005;362,0;74,104;138,0
Lance_006;436,8;79,96;128,8
Lance_007;515,6;79,98;129,6
Lance_008;594,0;69,104;134,0
Lance_009;663,3;81,101;134,3
Lance_010;744,6;79,98;134,6
Lance_011;823,0;88,104;131,0
Lance_012;911,0;74,104;145,0
Lance_013;985,0;113,104;85,0
Lance_013_under;1098,93;12,11;73,77
Lance_014;1110,11;57,93;95,11
Lance_014_under;1167,94;24,10;71,79
Lance_015;0,110;60,93;95,11
Lance_015_under;60,193;24,10;71,79
Lance_016;84,110;64,93;95,11
Lance_016_under;148,193;24,10;71,79
Lance_017;172,110;86,93;83,11
Lance_017_under;258,180;12,23;71,66
Lance_018;270,110;70,93;99,11
Lance_019;340,114;69,89;100,15
Lance_020;409,109;82,94;53,45
Lance_021;491,113;72,90;35,68
Lance_022;563,134;53,69;24,91
Lance_024_under;616,149;59,54;24,0
Lance_025;675,104;88,99;107,5
Lance_026;763,105;88,98;108,6
Lance_027;851,106;88,97;108,7
Lance_028;939,107;88,96;109,8
Lance_029;1027,108;88,95;109,9
Lance_030;0,228;96,79;104,25
Lance_031;96,229;96,78;104,26
Lance_032;192,230;96,77;103,27
Lance_033;288,248;84,59;111,45
Lance_034;372,231;83,76;122,28
Lance_035;455,247;83,60;122,44
Lance_036;538,252;94,55;111,49
Lance_037;632,231;93,76;112,28
Lance_044;725,221;73,86;108,18
Lance_045;798,221;70,86;109,18
Lance_046;868,203;113,104;85,0
Lance_047;981,214;81,93;71,11
Lance_048;1062,214;84,93;71,11
Lance_049;0,313;88,93;71,11
Lance_050;88,313;98,93;71,11
Lance_051;186,352;59,54;24,0
Lance_052;245,352;59,54;28,0
Lance_053;304,352;59,54;32,0
Lance_054;363,352;59,54;36,0
Lance_055;422,351;60,55;44,0
Lance_056;482,348;60,58;54,0
Lance_057;542,345;60,61;67,0
Lance_058;602,340;60,66;83,0
Lance_059;662,307;59,99;89,0
Lance_060;721,307;59,99;91,1
Lance_061;780,308;48,98;103,3
Lance_062;828,309;48,97;105,4
Lance_063;876,319;58,87;107,15
Lance_064;934,320;58,86;109,17
