Sword_000;0,18;43,65;128,39
Sword_001;43,19;43,64;128,40
Sword_002;86,10;52,73;135,31
Sword_003;138,14;64,69;113,36
Sword_004;202,16;85,67;71,37
Sword_005;287,25;56,58;90,46
Sword_005_under;343,78;17,5;73,71
Sword_006;360,28;44,55;80,53
Sword_007;404,29;44,54;91,54
Sword_008;448,28;44,55;91,54
Sword_009;492,22;52,61;81,51
Sword_010;544,4;47,79;81,33
Sword_011;591,0;75,83;88,23
Sword_012;666,1;75,82;90,23
Sword_013;741,7;75,76;91,29
Sword_014;816,7;75,76;93,29
Sword_015;891,7;75,76;95,29
Sword_016;966,19;76,64;96,42
Sword_017;1042,19;65,64;110,43
Sword_018;1107,24;65,59;114,49
Sword_019;0,107;62,46;120,58
Sword_020;62,106;39,47;135,59
Sword_021;101,104;32,49;141,57
Sword_022;133,105;32,48;146,57
Sword_023;165,106;48,47;144,56
Sword_024;213,93;63,60;129,45
Sword_025;276,88;59,65;127,41
Sword_026;335,102;64,51;130,53
Sword_027;399,102;64,51;130,53
Sword_028;463,93;74,60;127,44
Sword_029;537,84;65,69;129,35
Sword_030;602,84;65,69;129,35
Sword_031;667,84;68,69;126,35
Sword_032;735,84;65,69;129,35
Sword_033;800,84;67,69;127,35
Sword_034;867,83;68,70;126,34
Sword_035;935,100;74,53;134,53
Sword_036;1009,100;74,53;132,53
Sword_037;1083,100;73,53;134,51
Sword_038;0,153;75,54;134,50
Sword_039;75,154;74,53;135,51
Sword_042;149,158;43,49;128,55
Sword_043;192,159;42,48;132,56
