Sword_000;0,38;96,85;112,19
Sword_001;96,35;87,88;123,16
Sword_002;183,39;114,84;112,20
Sword_003;297,20;63,103;132,0
Sword_004;360,31;63,92;132,11
Sword_005;423,31;68,92;132,11
Sword_006;491,20;74,103;132,0
Sword_007;565,20;83,103;132,0
Sword_008;648,16;80,107;97,0
Sword_008_under;728,98;10,25;87,61
Sword_009;738,16;76,107;100,0
Sword_009_under;814,114;14,9;86,77
Sword_010;828,18;89,105;89,2
Sword_011;917,18;75,105;102,2
Sword_012;992,19;74,104;103,3
Sword_013;1066,0;90,123;74,34
Sword_014;0,123;69,103;73,54
Sword_015;69,149;69,77;51,83
Sword_016;138,177;69,49;30,111
Sword_018;207,177;48,49;28,0
Sword_019;255,177;48,49;30,0
Sword_020;303,177;48,49;32,0
Sword_021;351,177;48,49;35,0
Sword_022;399,176;50,50;39,0
Sword_023;449,173;74,53;24,0
Sword_024;523,169;76,57;37,0
Sword_025;599,164;76,62;51,0
Sword_026;675,125;59,101;87,0
Sword_027;734,134;50,92;110,10
Sword_028;784,136;50,90;113,12
Sword_029;834,144;58,82;123,22
Sword_030;892,146;58,80;125,24
Sword_031;950,137;116,89;94,15
Sword_032;1066,171;96,55;112,49
Sword_033;0,255;97,78;111,26
Sword_034;97,277;97,56;111,48
Sword_035;194,280;97,53;111,51
Sword_036;291,258;97,75;111,29
Sword_039;388,243;85,90;112,14
Sword_040;473,243;72,90;111,14
Sword_041;545,226;90,107;87,0
Sword_042;635,226;90,107;86,0
